Time ;depth, cm;Flow up, (Hz);Flow down, (Hz);..;
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;12.00;-31.00;0.00;5.78;322093.000000
test;12.00;-31.00;0.00;5.78;322093.000000
test;12.00;-31.00;0.00;5.78;322093.000000
test;12.00;-31.00;0.00;5.78;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;12.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;13.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;14.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;15.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;16.00;-31.00;0.00;2.12;322093.000000
test;17.00;-31.00;0.00;2.12;322093.000000
test;17.00;-31.00;0.00;2.12;322093.000000
test;17.00;-31.00;0.00;2.12;322093.000000
test;17.00;-31.00;0.00;2.12;322093.000000
test;17.00;-31.00;0.00;2.12;322093.000000
