"Date_CET";"T2.1";"T3.2";"T7.2";"T6.2";"T6.1";"T4.1"
2019-04-29;10.4119;10.57189;10.2300844444444;9.97894335294118;9.90682823529412;10.1143442857143
2019-04-30;10.416685;10.59265;10.21943;9.99187517647059;9.90474576470588;10.1246142857143
2019-05-01;10.38477;10.78833;10.2202926666667;9.9994098;9.900472;10.1154625
2019-05-02;10.426282;10.776366;10.3303675;9.98317214285714;9.83123785714286;10.12666
2019-05-03;10.433448;10.57505;10.2330254545455;9.96080766666667;9.82404773333333;10.1174775
2019-05-04;10.3954066666667;10.2396688888889;10.1980175;9.9616088;9.83302406666667;10.114135
2019-05-05;10.39473;10.3667325;10.2039391666667;9.95241375;9.83842465;10.1131942857143
2019-05-06;10.36679;10.16846;10.185989375;9.95100478947368;9.83115752631579;10.119475
2019-05-07;10.3824371428571;10.0069415714286;10.1802463157895;9.96150864285714;9.83632114285714;10.12081
2019-05-08;10.3861972727273;10.1595726363636;10.1866326666667;9.95735273333333;9.82747;10.1092711111111
2019-05-09;10.38132;10.54288;10.2399641666667;9.96429436363636;9.80746181818182;10.1083777777778
2019-05-10;10.376747;9.9246335;10.2029388888889;9.94889816666667;9.81395466666667;10.1128333333333
2019-05-11;10.35675;9.9029542;10.1749976923077;9.964714;9.8249244375;10.1008566666667
2019-05-12;10.3454283333333;9.91179383333333;10.1413228571429;9.979682125;9.83159625;10.1092171428571
2019-05-13;10.374245;10.061140625;10.15656;9.9675964;9.8388122;10.106298
2019-05-14;10.37373375;10.3956525;10.2427;9.9756925;9.80933375;10.1199266666667
2019-05-15;10.342775;9.9519045;10.2483033333333;9.9683832;9.8158751;10.11048625
2019-05-16;10.3347683333333;9.96464033333333;10.25853;9.97984841666667;9.81231683333333;10.0933066666667
2019-05-17;10.32378375;9.972473125;10.2443033333333;9.9759648;9.7778934;10.089952
2019-05-18;10.3076428571429;9.97428671428571;10.223496;9.9825235;9.7998045;10.0756116666667
2019-05-19;10.24487;9.98407;10.2302866666667;9.984175625;9.772254875;10.0437
2019-05-20;NA;NA;10.2177354545455;9.95449581818182;9.75171445454546;NA
2019-05-21;10.30084;9.996094;10.023956625;9.968200625;9.800933875;10.049655
2019-05-22;10.2865866666667;10.0317166666667;10.092499;9.97917141666667;9.79946375;10.06713
2019-05-23;10.2861533333333;10.0575566666667;10.1441975;9.977188375;9.788597125;10.0623166666667
2019-05-24;10.31281;10.07227;10.1495166666667;9.967697375;9.779686;10.068615
2019-05-25;10.305616;10.073074;10.170195;10.0023438;9.7660278;10.07658
2019-05-26;10.3167875;10.0772525;10.20029;9.97175842857143;9.76568614285714;10.073996
2019-05-27;10.306398;10.065844;10.142215;9.9832155;9.772766;10.08757
2019-05-28;10.322815;10.06021;10.126145;9.98431371428571;9.77924471428571;10.0855575
2019-05-29;10.3248;10.076265;10.165004;9.9847782;9.7770996;10.0789183333333
2019-05-30;NA;NA;10.18691;NA;NA;10.08356
2019-05-31;10.3377675;10.0923175;NA;NA;NA;10.08752
2019-06-01;NA;NA;10.170205;9.9758295;9.78794333333333;NA
2019-06-02;NA;NA;10.16821;9.971222;9.794556;NA
2019-06-07;10.3364584;10.1038636;9.950762375;9.91228225;9.79930866666667;10.0658068181818
2019-06-08;10.366925;10.1178916666667;9.94625091666667;9.931259125;9.81130725;10.0762570833333
2019-06-09;10.3764166666667;10.13158625;9.972503625;9.93608079166667;9.82021583333333;10.09171
2019-06-10;10.4121983333333;10.13410125;10.0065814583333;9.9726845;9.83111325;10.1261145833333
2019-06-11;10.4311683333333;10.1319041666667;10.0343214583333;9.987675625;9.860918625;10.1339395833333
2019-06-12;10.426505;10.1521191666667;9.97357991304348;9.977521125;9.86848966666667;10.145085
2019-06-13;10.4559295652174;10.1338326086957;10.0080824583333;9.990323;9.8920415;10.1803129166667
2019-06-14;10.4697641666667;10.1502833333333;10.0132525;10.0129634583333;9.90372970833333;10.1972554166667
2019-06-15;10.4895554166667;10.1753233333333;10.0271245833333;10.0229349583333;9.91492979166667;10.220975
2019-06-16;10.5050358333333;10.180815;10.0603825;10.0506886956522;9.91036852173913;10.2319520833333
2019-06-17;10.5260539130435;10.181007826087;10.0534265217391;10.0580229166667;9.92892704166667;10.2545679166667
2019-06-18;10.5254603448276;10.2043982758621;10.0452434782609;10.0682812;9.95119376;10.2675895238095
2019-06-19;10.5311027586207;10.2291151724138;10.0515445833333;10.0803133333333;9.963160375;10.2845060869565
2019-06-20;10.54627125;10.2654570833333;10.0602204166667;10.087295;9.97880554166667;10.306195
2019-06-21;10.5571130434783;10.2923069565217;10.06237875;10.1060725;9.98719529166667;10.3174108695652
2019-06-22;10.5790304166667;10.31600875;10.07072375;10.1077383333333;9.99525458333333;10.3383754166667
2019-06-23;10.5800117391304;10.337392173913;10.0810745833333;10.12453125;10.00626825;10.3529082608696
2019-06-24;10.5946608333333;10.3565433333333;10.0835775;10.12386875;10.0145091666667;10.3704141666667
2019-06-25;10.59964;10.37620375;10.0899075;10.1295175;10.0231020833333;10.3886741666667
2019-06-26;10.6074604166667;10.3937325;10.0952445833333;10.13616125;10.0319554166667;10.4032875
2019-06-27;10.6194325;10.41122625;10.1123120833333;10.1448045833333;10.0411883333333;10.42501625
2019-06-28;10.625735;10.4297120833333;10.1182508695652;10.1569466666667;10.0482141666667;10.4444175
2019-06-29;10.6411945833333;10.44606375;10.13436125;10.1640891666667;10.0605891666667;10.4576620833333
2019-06-30;10.6475348;10.4632784;10.1396413636364;10.1737170833333;10.0686654166667;10.4773491304348
2019-07-01;10.6649914285714;10.4778814285714;10.1521785714286;10.1815285714286;10.0762057142857;10.4929825
2019-07-02;10.6761266666667;10.5060833333333;NA;NA;NA;10.5218533333333
2019-07-03;10.6852926086957;10.512547826087;10.194275;10.21658;10.10266;10.523655
2019-07-04;10.7060025;10.5283708333333;NA;10.22253;10.1145;10.5430579166667
2019-07-05;10.7212779166667;10.5443754166667;NA;10.24255;10.13031;10.5588913636364
2019-07-06;10.7350247826087;10.5596447826087;NA;NA;NA;10.5776860869565
2019-07-07;10.7511858333333;10.5751995833333;NA;NA;NA;10.591925
2019-07-08;10.76712;10.58883125;NA;10.297785;10.17668;10.6078333333333
2019-07-09;10.7814010344828;10.6099062068966;10.2713375;10.313728;10.1883023333333;10.6249104166667
2019-07-10;10.7980125806452;10.6297816129032;10.2883454166667;10.3180297142857;10.2009988571429;10.642975
2019-07-11;10.8137809090909;10.6517797727273;10.29849625;10.33237375;10.21845625;10.6577325
2019-07-12;10.8285545;10.672369;10.3099336363636;10.345334;10.236196;10.6758965217391
2019-07-13;10.8456558695652;10.6954847826087;10.3224907692308;10.3580454166667;10.2542466666667;10.6956195833333
2019-07-14;10.8577683333333;10.7141683333333;10.33971;10.3736708;10.2729316;10.7119877777778
2019-07-15;10.8759826315789;10.7389794736842;10.368358;10.39689125;10.2969545833333;10.7323061111111
2019-07-16;10.8951147826087;10.7528091304348;10.3756683333333;10.425455;10.32486;10.7503204347826
2019-07-17;10.9078641666667;10.7693991666667;10.3830066666667;10.4605941666667;10.35822625;10.7659979166667
2019-07-18;10.9234804347826;10.7904360869565;10.41102;10.4853075;10.3787025;10.78320125
2019-07-19;10.9394204347826;10.81229;10.42336875;10.49611;10.3992670833333;10.8002345833333
2019-07-20;10.9526961904762;10.8396471428571;10.443855;10.5066331818182;10.4224186363636;10.8168947619048
2019-07-21;10.9673052173913;10.8586186956522;10.4564808333333;10.5256070833333;10.462445;10.8359491666667
2019-07-22;10.9854352173913;10.8799526086957;10.4768269565217;10.5489854166667;10.4891604166667;10.8504547826087
2019-07-23;11.00989375;10.8979141666667;10.4904904166667;10.5653866666667;10.51964375;10.8649686956522
2019-07-24;11.03682;10.9167091304348;10.5070830434783;10.5872030434783;10.5417239130435;10.8782486956522
